"","dem","temp","rain","distance_water","frostdays","sunhours","tpi","slope","aspect","site","lon","lat"
"144",167,9.5,600,598.239196777344,6.87551593780518,3,-34.875,1.56224966049194,6,1,9.79752818269212,49.9399143236921
"145",208,9.39999961853027,623,2844.4189453125,6.74324703216553,3,-18,3.10826373100281,2,1,9.79984754248551,49.876117165928
"146",180,9.39999961853027,609,0,6.92037963867188,3,-39.875,3.99265813827515,6,1,9.8013477659316,49.9349694482291
"147",183,9.5,604,0,7,3,-23,2.51345038414001,3,1,9.80157446508932,49.9875209120316
"148",172,9.5,605,0,6.18107414245605,3,-18.625,2.39464592933655,3,1,9.80196763834571,49.9054164969169
"149",195,9.5,615,2395.84448242188,6.57799291610718,3,-22.125,2.00169444084167,1,1,9.80213016850438,49.8785522736092
"150",165,9.60000038146973,603,0,6.38030242919922,3,-22.625,2.44745063781738,3,1,9.803130359333,49.9126139196096
"151",172,9.5,605,0,6.18107414245605,3,-18.625,2.39464592933655,3,1,9.80360864434687,49.9054565871129
"152",242,9,631,0,6.6062068939209,2.06177067756653,-18.125,4.09476375579834,4,1,9.8037418454259,50.1314621102211
"153",272,9,637,4117.44482421875,7.7946310043335,3,-23.875,3.08995223045349,7,1,9.80382935294713,50.0644324313955
"154",265,9.19999980926514,641,3523.43408203125,7.00847959518433,3,-29.125,1.51910579204559,1,1,9.80454071600535,49.8480978655816
"155",187,9.5,611,1853.78430175781,6.30882024765015,3,-6.375,0.579901456832886,2,1,9.80457121674723,49.8857829340817
"156",172,9.5,605,0,6.18107414245605,3,-18.625,2.39464592933655,3,1,9.80625450126574,49.9011456972257
"157",164,9.5,599,0,6.5417423248291,3,-25,1.20865070819855,6,1,9.80787619329528,49.9292484528759
"158",204,9.5,613,1796.88330078125,6.44119310379028,3,-14.25,2.75836586952209,1,1,9.80843414930841,49.8785367471507
"159",176,9.5,608,926.892822265625,6.38285827636719,3,-3,0.655039012432098,2,1,9.80852788442108,49.8961353440899
"160",183,9.5,608,1514.39904785156,6.16880941390991,3,-6.125,0.773553490638733,1,1,9.80876199882297,49.8848191806878
"161",281,9.10000038146973,655,4888.1982421875,7,3,-12.125,0.37011057138443,5,1,9.80901325056475,49.7986735429056
